title,price,old_price,url,source
Vapeador Electrónico Mistiq Grape Ice 1000 Puff X 1 Und,20.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/zRZ2tR2EtPgv4vCxq/vapeador-electronico-mistiq-grape-ice-1000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Pineapple Pear 1000 Puff X 1 Und,20.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/yDb2gKwjgzGDHM2ut/vapeador-electronico-mistiq-pineapple-pear-1000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Watermelon Ice 1000 Puff X 1 Und,20.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/5odJHWQ5YNAnH3RPH/vapeador-electronico-mistiq-watermelon-ice-1000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Blueberry Ice 15000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/QW9rQQCAWfbDuGu3t/vapeador-electronico-mistiq-blueberry-ice-15000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Grape Ice 15000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/QASrqhtBmoPXeFE2k/vapeador-electronico-mistiq-grape-ice-15000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Mango Ice 15000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/jJ57r2SFQmsdw9CqN/vapeador-electronico-mistiq-mango-ice-15000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Mint Ice 15000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/5zoKrqnM67LydrDCD/vapeador-electronico-mistiq-mint-ice-15000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Strawberry Cherry 1000 Puff X 1 Und,20.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/2zWRAvtNhTHMQ5ZWF/vapeador-electronico-mistiq-strawberry-cherry-1000-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Strawberry Kiwi Ice 15000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/vhvvcS4tjGRP4ZbEf/vapeador-electronico-mistiq-strawberry-kiwi-ice-15000-puff-x-1-und,TAMBO
Vapeador Electrónico Veev Now Blue Mint 3.5% 8000 Puffs,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/xFog6nQHGMzp3y99X/vapeador-electronico-veev-now-blue-mint-35por-ciento-8000-puffs,TAMBO
Vapeador Electrónico Veev Now Blue Raspberry 3.5% 8000 Puffs,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/RBWaBe3CGdAXw4eQQ/vapeador-electronico-veev-now-blue-raspberry-35por-ciento-8000-puffs,TAMBO
Vapeador Electrónico Veev Now Watermelon 3.5% 8000 Puffs,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/ESYP24YExvPcqtagE/vapeador-electronico-veev-now-watermelon-35por-ciento-8000-puffs,TAMBO
Vapeador Electronico Geekbar Meloso Mini Blueberry Ice 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/cnLtcEMCzGMMdyfDu/vapeador-electronico-geekbar-meloso-mini-blueberry-ice-1500-puff-1-und,TAMBO
Vapeador Electronico Geekbar Meloso Mini Peach Berry 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/Y4QLneFe7uycNJmET/vapeador-electronico-geekbar-meloso-mini-peach-berry-1500-puff-1-und,TAMBO
Vapeador Electronico Geekbar Meloso Mini Strawberry Mango 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/xr9ssY3uCsZ35WbSd/vapeador-electronico-geekbar-meloso-mini-strawberry-mango-1500-puff-1-und,TAMBO
Vapeador Electronico Geekbar Meloso Mini Grape Jelly 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/GezdHyZ8EcJKAeFDG/vapeador-electronico-geekbar-meloso-mini-grape-jelly-1500-puff-1-und,TAMBO
Vapeador Electrónico Geekbar Meloso Pina Colada 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/2CRggK33jsHxr2yso/vapeador-electronico-geekbar-meloso-pina-colada-1500-puff-1-und,TAMBO
Vapeador Electrónico Geekbar Meloso Strawberry Banana 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/zKPCh4XuHnwPpFwqH/vapeador-electronico-geekbar-meloso-strawberry-banana-1500-puff-1-und,TAMBO
Vapeador Electrónico Geekbar Meloso Alaska Mint 1500 Puff 1 und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/989LCYsutL23zmPWq/vapeador-electronico-geekbar-meloso-alaska-mint-1500-puff-1-und,TAMBO
Vapeador Electrónico Geekbar Meloso Berry Trio Ice 9000 Puff 1 und,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/Jgg73m27ajQShjCSu/vapeador-electronico-geekbar-meloso-berry-trio-ice-9000-puff-1-und,TAMBO
Vapeador Electrónico Geekbar Meloso Sour Apple Ice 9000 Puff 1und,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/JAoZFGr9Yuc7pokcc/vapeador-electronico-geekbar-meloso-sour-apple-ice-9000-puff-1und,TAMBO
Vapeador Electrónico Geekbar Meloso Watermelon Ice 9000 Puff,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/xXm6aNfqaNNgKCDhK/vapeador-electronico-geekbar-meloso-watermelon-ice-9000-puff,TAMBO
Vapeador Electronico Geekbar Meloso Max Purple Haze 9000 Puff 1 und,65.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/QQCFZ7uyT5avyaRvX/vapeador-electronico-geekbar-meloso-max-purple-haze-9000-puff-1-und,TAMBO
Cigarro Electrónico STLTH Apple Kiwi Melon Ice 5000 Puff 1 und,55.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/yNwxLAMF2mkP2TPNf/cigarro-electronico-stlth-apple-kiwi-melon-ice-5000-puff-1-und,TAMBO
Pack 2 (Vapeador Electrónico Veev Now Blue Mint 1800 Puff),63.8,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/BPGuFAHj79QXJ4b4R/pack-2-vapeador-electronico-veev-now-blue-mint-1800-puff,TAMBO
Pack 2 (Vapeador Electrónico Veev Now Blueberry 1800 Puff),63.8,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/5MCdcrXPs2LJyR66N/pack-2-vapeador-electronico-veev-now-blueberry-1800-puff,TAMBO
Pack 2 (Vapeador Electrónico Veev Now Watermelon 1800 Puff),63.8,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/4S3e2hQDFGzBBvpuT/pack-2-vapeador-electronico-veev-now-watermelon-1800-puff,TAMBO
Cigarro Electrónico Stlth Blueberry Raspberry 5000 Puff X 1 Und,55.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/MyKtxCpxdNZPzYYCj/cigarro-electronico-stlth-blueberry-raspberry-5000-puff-x-1-und,TAMBO
Cigarro Electrónico Stlth Loop Device X 1 Und,40.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/hC9Fy8zRWvwKZqeDB/cigarro-electronico-stlth-loop-device-x-1-und,TAMBO
Loop Pod Ice Mint Stlth X 1 Und,45.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/uYHfqHjPrd7NGDe4z/loop-pod-ice-mint-stlth-x-1-und,TAMBO
Loop Pod Stlth Green Apple Ice X 1 Und,45.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/7hEJLxKCWb7GQ64vf/loop-pod-stlth-green-apple-ice-x-1-und,TAMBO
Loop Pod Stlth Strawberry Kiwi Ice X 1 Und,45.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/7xk7xR4m57wDYLYqs/loop-pod-stlth-strawberry-kiwi-ice-x-1-und,TAMBO
Loop Pod White Grape Ice Stlth X 1 Und,45.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/X9qTRH3umvCE9fx5e/loop-pod-white-grape-ice-stlth-x-1-und,TAMBO
Pack (1 Loop Pod Ice Mint STLTH + 1 Cigarro Electrónico STLTH Loop Device),85.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/sbsTRZ9Tt2wgxQwDn/pack-1-loop-pod-ice-mint-stlth-1-cigarro-electronico-stlth-loop-device,TAMBO
Pack (1 Loop Pod White Grape Ice STLTH + 1 Cigarro Electrónico STLTH Loop Device),85.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/pvrwexfKhjFSpBZYb/pack-1-loop-pod-white-grape-ice-stlth-1-cigarro-electronico-stlth-loop-device,TAMBO
Vapeador Electronico Pulse X Blackberry 25000 Puff X 1 Und,95.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/ofCS6okZbpXBn38mM/vapeador-electronico-pulse-x-blackberry-25000-puff-x-1-und,TAMBO
Vapeador Electrónico Meloso Mini Mexico Mango 1500 Puff X 1 Und,32.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/h9TbK9xY93YKC4uud/vapeador-electronico-meloso-mini-mexico-mango-1500-puff-x-1-und,TAMBO
Vapeador Electrónico Mistiq Blueberry Ice 10000 Puff X 1 Und,79.0,,https://www.tambo.pe/pedir/categoria/DC9pR2W6N6TCHBnZd/p/9Z4yNbzB5bXDJEfpK/vapeador-electronico-mistiq-blueberry-ice-10000-puff-x-1-und,TAMBO
